,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
69,0.10005,14.203,0.0,0.69468,-1.4804
70,0.10005,13.918,0.0,0.8232,-1.462
71,0.10005,13.818,0.0,0.94332,-1.4557
72,0.10005,13.814,0.0,1.0383,-1.4554
73,0.10005,13.255,0.0,1.0803,-1.4202
74,0.10005,12.254,0.0,1.0547,-1.3592
75,0.10005,11.073,0.0,0.98242,-1.2906
76,0.10005,9.9179,0.0,0.88723,-1.2269
77,0.11491,11.273,225.4,0.97367,3.3687
78,0.13343,14.368,689.08,1.0627,6.7242
79,0.19088,17.85,1165.6,1.0563,15.818
80,0.28988,20.798,1597.1,1.015,29.705
81,0.32445,23.759,1957.8,0.92315,34.273
82,0.33965,25.953,2215.4,0.77832,36.248
83,0.34767,27.327,2318.4,0.72599,37.281
84,0.35901,27.956,2324.8,0.87166,38.738
85,0.36764,28.337,2228.2,1.0449,39.839
86,0.37017,28.27,1996.4,1.1817,40.162
87,0.36159,27.23,1629.3,1.2924,39.068
88,0.34327,25.443,1210.7,1.3366,36.716
89,0.23203,23.644,734.16,1.3042,21.771
90,0.13229,21.42,264.04,1.2299,6.5258
91,0.10005,18.82,19.32,1.186,-1.1955
92,0.10005,16.536,0.0,1.1479,-1.6398
93,0.10005,14.63,0.0,1.1038,-1.5084
94,0.10005,12.872,0.0,1.025,-1.3966
95,0.10005,11.594,0.0,0.96838,-1.3204
96,0.10005,10.551,0.0,0.88723,-1.2615
97,0.10005,9.8402,0.0,0.80427,-1.2228
98,0.10005,9.3625,0.0,0.77391,-1.1974
99,0.10005,9.0279,0.0,0.75602,-1.18
100,0.10005,8.9252,0.0,0.74461,-1.1747
101,0.11138,10.127,199.64,0.77832,2.679
102,0.12485,13.285,644.0,0.71411,5.2178
103,0.20411,18.32,1101.2,0.6355,17.769
104,0.3058,22.154,1513.4,0.67214,31.822
105,0.328,25.081,1880.5,0.66188,34.734
106,0.33843,27.031,2118.8,0.61078,36.091
107,0.35112,28.053,2234.7,0.68973,37.727
108,0.3643,28.727,2247.6,0.84373,39.412
109,0.37101,29.004,2151.0,0.96129,40.269
110,0.36922,28.663,1925.6,0.99969,40.041
111,0.36226,27.77,1584.2,1.0267,39.154
112,0.33364,26.466,1146.3,1.0771,35.468
113,0.22087,25.431,682.64,1.1568,20.187
114,0.12469,23.438,225.4,1.2032,5.1901
115,0.10005,19.976,19.32,1.2174,-1.2847
116,0.10005,17.706,0.0,1.2159,-1.7261
117,0.10005,16.201,0.0,1.1069,-1.6159
118,0.10005,15.135,0.0,0.97893,-1.5421
119,0.10005,14.093,0.0,0.86575,-1.4733
