,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
5805,0.10005,18.592,0.0,0.54233,-1.7944
5806,0.10005,17.915,0.0,0.54233,-1.742
5807,0.10005,17.253,0.0,0.54233,-1.6922
5808,0.10005,16.909,0.0,0.54233,-1.6668
5809,0.10005,16.722,0.0,0.54233,-1.6532
5810,0.10005,16.176,0.0,0.54233,-1.6142
5811,0.10005,15.703,0.0,0.54233,-1.581
5812,0.10005,15.795,0.0,0.54233,-1.5874
5813,0.10129,15.964,64.4,0.54233,0.41519
5814,0.13509,18.305,276.92,0.60232,7.0099
5815,0.18136,20.78,508.76,0.67721,14.389
5816,0.25574,23.282,837.2,0.64086,25.073
5817,0.32375,25.048,1152.8,0.59373,34.18
5818,0.33565,26.325,1436.1,0.64352,35.73
5819,0.3345,25.542,1255.8,0.72835,35.58
5820,0.3364,25.43,1217.2,0.79572,35.828
5821,0.28647,25.445,959.56,0.84778,29.248
5822,0.26793,25.617,882.28,0.90063,26.741
5823,0.25866,25.586,843.64,0.94694,25.474
5824,0.27087,25.39,895.16,0.95951,27.141
5825,0.1959,24.347,573.16,0.88336,16.563
5826,0.11706,22.169,180.32,0.68973,3.781
5827,0.10005,19.234,19.32,0.68973,-1.2269
5828,0.10005,18.533,0.0,0.77391,-1.7898
5829,0.10005,18.142,0.0,0.82941,-1.7594
5830,0.10005,17.789,0.0,0.83558,-1.7324
5831,0.10005,17.014,0.0,0.74919,-1.6745
5832,0.10005,16.138,0.0,0.67721,-1.6114
5833,0.10005,15.135,0.0,0.61913,-1.5421
5834,0.10005,14.12,0.0,0.5732,-1.4751
5835,0.10005,13.179,0.0,0.54253,-1.4154
5836,0.10005,12.51,0.0,0.54233,-1.3746
5837,0.10339,13.271,77.28,0.54233,0.94956
5838,0.16205,16.557,425.04,0.65145,11.413
5839,0.25787,19.928,856.52,0.65407,25.366
5840,0.31618,23.289,1275.1,0.66959,33.189
5841,0.32921,25.593,1648.6,0.62189,34.895
5842,0.3423,27.117,1906.2,0.65929,36.591
5843,0.35487,28.168,2080.1,0.74,38.208
5844,0.36251,28.576,2028.6,0.83147,39.186
5845,0.36889,28.917,1977.1,0.92129,39.998
5846,0.36986,28.783,1771.0,0.9859,40.122
5847,0.3672,28.358,1461.9,1.0217,39.783
5848,0.31871,27.756,1081.9,1.0133,33.521
5849,0.2153,26.791,656.88,0.925,19.389
5850,0.11867,24.306,193.2,0.78271,4.0854
5851,0.10005,21.762,19.32,0.80427,-1.4323
5852,0.10005,21.365,0.0,0.893,-2.0262
5853,0.10005,20.987,0.0,0.92685,-1.993
5854,0.10005,20.548,0.0,0.95235,-1.9551
5855,0.10005,20.272,0.0,1.0065,-1.9315
5856,0.10005,14.04,0.0,0.68973,-1.4699
5857,0.10005,13.45,0.0,0.66959,-1.4323
5858,0.10005,12.854,0.0,0.64086,-1.3955
5859,0.10005,12.484,0.0,0.65929,-1.373
5860,0.10005,12.368,0.0,0.73069,-1.366
5861,0.10345,12.958,77.28,0.86179,0.96355
5862,0.12798,13.722,244.72,0.91383,5.7763
5863,0.14139,15.135,508.76,0.89873,8.0721
5864,0.18229,17.515,805.0,0.89491,14.53
5865,0.24586,19.443,1004.6,0.94875,23.706
5866,0.30177,21.811,1358.8,1.0217,31.289
5867,0.32015,23.385,1410.4,1.0708,33.71
5868,0.33088,24.323,1552.0,1.0803,35.11
5869,0.32328,23.657,1223.6,1.053,34.12
5870,0.30646,23.309,1049.7,0.95414,31.909
5871,0.26167,23.106,862.96,0.84576,25.887
5872,0.20691,22.613,624.68,0.81903,18.176
5873,0.15479,21.842,379.96,0.67468,10.262
5874,0.11228,19.908,148.12,0.61358,2.8567
5875,0.10005,17.686,38.64,0.66959,-0.50076
5876,0.10005,16.909,0.0,0.72835,-1.6668
5877,0.10005,16.146,0.0,0.78924,-1.612
5878,0.10005,15.58,0.0,0.83353,-1.5725
5879,0.10005,14.837,0.0,0.81063,-1.5222
5880,0.10005,13.953,0.0,0.75147,-1.4643
5881,0.10005,13.031,0.0,0.68973,-1.4063
5882,0.10005,12.183,0.0,0.64882,-1.355
5883,0.10005,11.436,0.0,0.6328,-1.3114
5884,0.10005,10.98,0.0,0.6355,-1.2854
5885,0.11665,13.453,167.44,0.74461,3.7048
5886,0.16499,16.708,483.0,0.96484,11.877
5887,0.27293,20.176,920.92,0.9415,27.421
5888,0.32184,23.533,1371.7,0.99282,33.933
5889,0.3452,25.724,1719.5,1.0234,36.966
5890,0.35504,26.789,1835.4,1.0724,38.229
5891,0.36089,27.367,1861.2,1.1162,38.978
5892,0.36237,27.479,1771.0,1.1404,39.167
5893,0.36374,27.609,1706.6,1.1524,39.342
5894,0.36431,27.634,1668.0,1.17,39.415
5895,0.35651,26.714,1262.2,1.1831,38.42
5896,0.25423,25.906,824.32,1.1404,24.865
5897,0.16665,24.716,437.92,0.94332,12.133
5898,0.12485,22.865,225.4,0.70446,5.2165
5899,0.10005,20.182,38.64,0.72363,-0.6787
5900,0.10005,19.066,0.0,0.81274,-1.8321
5901,0.10005,18.689,0.0,0.93421,-1.802
5902,0.10005,18.339,0.0,1.0676,-1.7746
5903,0.10005,17.621,0.0,1.1038,-1.7196
5904,0.10005,16.869,0.0,1.1162,-1.6639
5905,0.10005,15.977,0.0,1.0866,-1.6001
5906,0.10005,15.196,0.0,1.1115,-1.5462
5907,0.10005,14.687,0.0,1.1344,-1.5121
5908,0.10005,14.262,0.0,1.1131,-1.4842
5909,0.10152,14.781,64.4,1.1642,0.47909
5910,0.11828,16.635,180.32,1.271,4.0119
5911,0.1561,19.122,386.4,1.3695,10.47
5912,0.22378,21.587,701.96,1.3657,20.602
5913,0.29364,22.919,998.2,1.3121,30.208
5914,0.31466,22.912,1152.8,1.2032,32.99
5915,0.31974,23.349,1249.4,1.1875,33.656
5916,0.32525,23.829,1210.7,1.1759,34.379
5917,0.32996,24.243,1172.1,1.1253,34.993
5918,0.33559,24.744,1223.6,1.0976,35.722
5919,0.27321,24.32,908.04,1.0898,27.459
5920,0.20719,23.572,624.68,1.0898,18.216
5921,0.14826,22.676,347.76,1.0866,9.2086
5922,0.11189,21.358,148.12,0.92869,2.7797
5923,0.10005,19.478,32.2,0.7165,-0.83272
5924,0.10005,18.731,0.0,0.73536,-1.8054
5925,0.10005,18.801,0.0,0.83762,-1.8109
5926,0.10005,18.992,0.0,0.94875,-1.8261
5927,0.10005,19.049,0.0,1.0217,-1.8307
5928,0.10005,19.004,0.0,1.0595,-1.8271
5929,0.10005,18.906,0.0,1.0976,-1.8193
5930,0.10005,18.672,0.0,1.1085,-1.8007
5931,0.10005,18.135,0.0,1.0644,-1.7589
5932,0.10005,17.655,0.0,1.0234,-1.7222
5933,0.10005,17.565,32.2,1.1284,-0.6964
5934,0.12021,17.951,193.2,1.2216,4.3736
5935,0.13743,18.91,289.8,1.2506,7.4081
5936,0.17724,20.341,489.44,1.291,13.762
5937,0.20819,22.127,631.12,1.4258,18.361
5938,0.3169,24.303,1088.4,1.4892,33.286
5939,0.33917,25.066,1288.0,1.5098,36.184
5940,0.34711,25.802,1423.2,1.4881,37.211
5941,0.35469,26.533,1616.4,1.4496,38.185
5942,0.35494,26.558,1539.2,1.393,38.218
5943,0.35176,26.247,1365.3,1.3263,37.809
5944,0.30403,25.718,1030.4,1.2396,31.588
5945,0.19884,24.771,586.04,1.053,16.995
5946,0.12359,23.148,218.96,0.72835,4.993
5947,0.10005,20.828,19.32,0.6328,-1.3536
5948,0.10005,21.079,0.0,0.9157,-2.0011
5949,0.10005,21.641,0.0,1.1932,-2.0509
5950,0.10005,21.232,0.0,1.2272,-2.0145
5951,0.10005,21.047,0.0,1.2831,-1.9982
5952,0.10005,21.023,0.0,1.279,-1.9962
5953,0.10005,21.18,0.0,1.3456,-2.0099
5954,0.10005,20.413,0.0,1.2103,-1.9435
5955,0.10005,19.953,0.0,1.1642,-1.9047
5956,0.10005,19.704,0.0,1.1642,-1.884
5957,0.10194,19.835,77.28,1.1932,0.58838
5958,0.13241,20.544,264.04,1.2764,6.5511
5959,0.17469,21.501,476.56,1.393,13.373
5960,0.22722,22.749,714.84,1.4765,21.09
5961,0.31289,23.467,1075.5,1.5356,32.757
5962,0.32866,24.127,1410.4,1.5522,34.822
5963,0.33638,24.813,1532.7,1.5289,35.823
5964,0.33989,25.134,1423.2,1.5086,36.281
5965,0.34233,25.355,1487.6,1.5041,36.593
5966,0.33824,24.985,1294.4,1.4984,36.068
5967,0.28098,24.39,940.24,1.4858,28.509
5968,0.22028,23.665,682.64,1.452,20.101
5969,0.18998,22.763,547.4,1.3732,15.684
5970,0.14208,21.552,315.56,1.2145,8.1861
5971,0.10005,19.08,45.08,0.98068,-0.39159
5972,0.10005,17.254,0.0,0.83353,-1.6922
5973,0.10005,16.5,0.0,0.8064,-1.6372
5974,0.10005,15.951,0.0,0.79572,-1.5983
5975,0.10005,15.649,0.0,0.82941,-1.5773
5976,0.10005,15.547,0.0,0.89491,-1.5702
5977,0.10005,15.267,0.0,0.92129,-1.5511
5978,0.10005,14.865,0.0,0.92685,-1.524
5979,0.10005,14.306,0.0,0.90442,-1.4871
5980,0.10005,13.719,0.0,0.86773,-1.4494
5981,0.12282,15.2,206.08,0.98416,4.853
5982,0.1819,17.498,592.48,0.96307,14.472
5983,0.29189,20.969,1030.4,0.92869,29.974
5984,0.33054,24.292,1436.1,1.0771,35.065
5985,0.35828,26.955,1777.4,1.1627,38.644
5986,0.37467,28.769,2028.6,1.1817,40.734
5987,0.38342,29.826,2060.8,1.186,41.84
5988,0.38822,30.556,2080.1,1.1932,42.447
5989,0.3829,29.751,1500.5,1.2004,41.773
5990,0.38201,29.628,1532.7,1.1946,41.662
5991,0.37656,28.976,1326.6,1.1817,40.974
5992,0.32742,28.391,1114.1,1.1404,34.662
5993,0.23499,27.317,740.6,1.053,22.187
5994,0.15187,25.206,367.08,0.98416,9.7902
5995,0.10005,22.631,57.96,0.97718,-0.24301
5996,0.10005,21.465,0.0,1.0367,-2.0352
5997,0.10005,20.57,0.0,1.0611,-1.9569
5998,0.10005,19.208,0.0,0.98936,-1.8435
5999,0.10005,18.175,0.0,0.92869,-1.7619
6000,0.10005,17.68,0.0,0.88336,-1.7241
6001,0.10005,17.574,0.0,0.87166,-1.7161
6002,0.10005,17.514,0.0,0.87166,-1.7116
6003,0.10005,17.619,0.0,0.88723,-1.7195
6004,0.10005,17.756,0.0,0.90253,-1.7298
6005,0.11146,19.03,141.68,1.0334,2.6945
6006,0.15871,20.997,399.28,1.11,10.886
6007,0.23062,23.801,727.72,1.11,21.572
6008,0.35688,26.751,1255.8,1.1918,38.467
6009,0.37295,28.54,1423.2,1.1989,40.515
6010,0.38276,29.731,1629.3,1.2103,41.755
6011,0.38731,30.407,1758.1,1.2383,42.33
6012,0.38847,30.593,1835.4,1.2615,42.476
6013,0.38658,30.292,1867.6,1.2656,42.237
